index,length_delta_um,width_delta_um,length_mmi_um,width_mmi_um,variant_name,exported_at_utc,export_id
0,-0.3,-0.1,5.2,2.4,mmi2x2_Ld-0p30_Wd-0p10,2026-04-06T03:43:18Z,a34bccc0-fac6-4982-b913-db7ecf35921a
1,-0.15,-0.1,5.35,2.4,mmi2x2_Ld-0p15_Wd-0p10,2026-04-06T03:43:18Z,a34bccc0-fac6-4982-b913-db7ecf35921a
2,0.0,-0.1,5.5,2.4,mmi2x2_Ld+0p00_Wd-0p10,2026-04-06T03:43:18Z,a34bccc0-fac6-4982-b913-db7ecf35921a
3,0.15,-0.1,5.65,2.4,mmi2x2_Ld+0p15_Wd-0p10,2026-04-06T03:43:18Z,a34bccc0-fac6-4982-b913-db7ecf35921a
4,0.3,-0.1,5.8,2.4,mmi2x2_Ld+0p30_Wd-0p10,2026-04-06T03:43:18Z,a34bccc0-fac6-4982-b913-db7ecf35921a
5,-0.3,0.0,5.2,2.5,mmi2x2_Ld-0p30_Wd+0p00,2026-04-06T03:43:18Z,a34bccc0-fac6-4982-b913-db7ecf35921a
6,-0.15,0.0,5.35,2.5,mmi2x2_Ld-0p15_Wd+0p00,2026-04-06T03:43:18Z,a34bccc0-fac6-4982-b913-db7ecf35921a
7,0.0,0.0,5.5,2.5,mmi2x2_Ld+0p00_Wd+0p00,2026-04-06T03:43:18Z,a34bccc0-fac6-4982-b913-db7ecf35921a
8,0.15,0.0,5.65,2.5,mmi2x2_Ld+0p15_Wd+0p00,2026-04-06T03:43:18Z,a34bccc0-fac6-4982-b913-db7ecf35921a
9,0.3,0.0,5.8,2.5,mmi2x2_Ld+0p30_Wd+0p00,2026-04-06T03:43:18Z,a34bccc0-fac6-4982-b913-db7ecf35921a
10,-0.3,0.1,5.2,2.6,mmi2x2_Ld-0p30_Wd+0p10,2026-04-06T03:43:18Z,a34bccc0-fac6-4982-b913-db7ecf35921a
11,-0.15,0.1,5.35,2.6,mmi2x2_Ld-0p15_Wd+0p10,2026-04-06T03:43:18Z,a34bccc0-fac6-4982-b913-db7ecf35921a
12,0.0,0.1,5.5,2.6,mmi2x2_Ld+0p00_Wd+0p10,2026-04-06T03:43:18Z,a34bccc0-fac6-4982-b913-db7ecf35921a
13,0.15,0.1,5.65,2.6,mmi2x2_Ld+0p15_Wd+0p10,2026-04-06T03:43:18Z,a34bccc0-fac6-4982-b913-db7ecf35921a
14,0.3,0.1,5.8,2.6,mmi2x2_Ld+0p30_Wd+0p10,2026-04-06T03:43:18Z,a34bccc0-fac6-4982-b913-db7ecf35921a
